nama_destinasi,alamat,website,google_link,longitude,latitude,review_total,average_rating,letak_provinsi,kategori
Madakaripura Waterfall,"5228+VC5, Branggah, Sapih, Kec. Lumbang, Kabupaten Probolinggo, Jawa Timur 67183",Tidak Tersedia,"https://www.google.com/maps/place/Madakaripura+Waterfall/@-7.8478713,113.0161214,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd64a8134d45011:0x8d14c8dbff7a3823!8m2!3d-7.8478713!4d113.0161214!16s%2Fm%2F064mbnz?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",113.016,-7.848,3051,4.5,Jawa Timur,Seni dan Budaya
Kampung Warna Warni Jodipan,"Jl. Ir. H. Juanda No.RT.7, RT.09/RW.2, Jodipan, Kec. Blimbing, Kota Malang, Jawa Timur 65127",Tidak Tersedia,"https://www.google.com/maps/place/Kampung+Warna+Warni+Jodipan/@-7.9828594,112.6372279,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd629537cd9ffdf:0x614750a282c3fe65!8m2!3d-7.9828594!4d112.6372279!16s%2Fg%2F11sxyh8717?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.637,-7.983,1189,4.5,Jawa Timur,Seni dan Budaya
Wisata Watu Gudik,"79RF+M55, Notorejo, Wonosalam, Kec. Wonosalam, Kabupaten Jombang, Jawa Timur 61476",Tidak Tersedia,"https://www.google.com/maps/place/Wisata+Watu+Gudik/@-7.7083599,112.3729833,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7865ee0060ea0b:0xc7a63e320d467cae!8m2!3d-7.7083599!4d112.3729833!16s%2Fg%2F11fmxth5b6?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.373,-7.708,115,4.4,Jawa Timur,Wisata Alam
Kampung Tridi,"Jl. Temenggungan Ledok, Kesatrian, Kec. Blimbing, Kota Malang, Jawa Timur 65121",https://www.instagram.com/kampung_tridi/,"https://www.google.com/maps/place/Kampung+Tridi/@-7.9822081,112.638085,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd6283e01c1a03d:0x986312138709ffdb!8m2!3d-7.9822081!4d112.638085!16s%2Fg%2F11c5_179gv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.638,-7.982,3236,4.4,Jawa Timur,Seni dan Budaya
Jawa Timur Park 2,"Jl. Raya Oro-Oro Ombo No.9, Temas, Kec. Batu, Kota Batu, Jawa Timur 65315",https://jtp.id/batusecretzoo/,"https://www.google.com/maps/place/Jawa+Timur+Park+2/@-7.888021,112.5295442,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7880d6ffffffff:0xf36560f87fd4fd77!8m2!3d-7.888021!4d112.5295442!16s%2Fg%2F121s43xs?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.530,-7.888,49459,4.7,Jawa Timur,Wisata Alam
Kenjeran Park Outbound,"Jl. Pantai Ria Kenjeran No.100, Sukolilo Baru, Kec. Bulak, Surabaya, Jawa Timur 60122",Tidak Tersedia,"https://www.google.com/maps/place/Kenjeran+Park+Outbound/@-7.2473195,112.8017382,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd7f9e46123ab51:0xdb1a1fc07205073!8m2!3d-7.2473195!4d112.8017382!16s%2Fg%2F11c6f5gfcr?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.802,-7.247,2387,4.2,Jawa Timur,Wisata Alam
Taman Tirta Tourism,"Jl. Soekarno - Hatta No.12, Nglungge, Keplaksari, Kec. Peterongan, Kabupaten Jombang, Jawa Timur 61481",Tidak Tersedia,"https://www.google.com/maps/place/Taman+Tirta+Tourism/@-7.5379947,112.2623229,17z/data=!3m1!4b1!4m6!3m5!1s0x2e786ab2f9c10b93:0xb05c1db8ca31ead5!8m2!3d-7.5379947!4d112.2623229!16s%2Fg%2F1hm1rq74s?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.262,-7.538,356,3.8,Jawa Timur,Wisata Alam
Wisata Gunung Kekep,"79FQ+CXG, Puncak Kekep, Jl. Kekep, Tanjakan Kekep, Gunung Kekep, Area Sawah/Kebun, Wonosalam, Kec. Wonosalam, Kabupaten Jombang, Jawa Timur 61476",Tidak Tersedia,"https://www.google.com/maps/place/Wisata+Gunung+Kekep/@-7.7264318,112.3899391,17z/data=!3m1!4b1!4m6!3m5!1s0x2e78659d19ec12e7:0xac51e2a46073b57d!8m2!3d-7.7264318!4d112.3899391!16s%2Fg%2F11fmzgxx7t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.390,-7.726,99,4.5,Jawa Timur,Wisata Alam
Alun Alun Malang,"Jl. Merdeka Selatan, Kiduldalem, Kec. Klojen, Kota Malang, Jawa Timur 65119",Tidak Tersedia,"https://www.google.com/maps/place/Alun+Alun+Malang/@-7.9826145,112.6308113,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd628181bac60c7:0xe71f0ef69b3810b4!8m2!3d-7.9826145!4d112.6308113!16s%2Fg%2F1hm38k9qm?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.631,-7.983,63887,4.5,Jawa Timur,Wisata Alam
Wisata Kampung Topeng,"XMFF+4X2, Tlogowaru, Kedungkandang, Malang City, Jawa Timur 65133",Tidak Tersedia,"https://www.google.com/maps/place/Wisata+Kampung+Topeng/@-8.0272333,112.6749005,17z/data=!3m1!4b1!4m6!3m5!1s0x2dd6264e8d221ee9:0xd40786dfc9a9869f!8m2!3d-8.0272333!4d112.6749005!16s%2Fg%2F11dymfzls2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTEwNi4wIKXMDSoASAFQAw%3D%3D",112.675,-8.027,487,4.1,Jawa Timur,Seni dan Budaya
